report_id	facility_id	jurisdiction_facility_id	facility_name	registered_business_name	primary_anzsic_class_code	primary_anzsic_class_name	substance_id	substance_name	air_total_emission_kg	suburb	postcode	latitude	longitude
491634	588832	30536	Caulfield Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	20	Carbon monoxide	1341.36	Caulfield	3162	-37.882289	145.01571
491634	588832	30536	Caulfield Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	69	Oxides of Nitrogen	1715.8	Caulfield	3162	-37.882289	145.01571
491634	588832	30536	Caulfield Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	119.158	Caulfield	3162	-37.882289	145.01571
491634	588832	30536	Caulfield Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	70	Particulate Matter ¡Ü10.0 ?m (PM10)	119.158	Caulfield	3162	-37.882289	145.01571
491634	588832	30536	Caulfield Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	77	Sulfur dioxide	16.958899	Caulfield	3162	-37.882289	145.01571
491634	588832	30536	Caulfield Hospital	ALFRED HEALTH	8401	Hospitals (Except Psychiatric Hospitals)	85	Total Volatile Organic Compounds	89.015	Caulfield	3162	-37.882289	145.01571
489896	531306	6820	Ararat Abattoir	ALINDARE PTY. LTD.	1111	Meat Processing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	107.6399807	Ararat	3377	-37.281461	142.918982
489896	531306	6820	Ararat Abattoir	ALINDARE PTY. LTD.	1111	Meat Processing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	108.3193979	Ararat	3377	-37.281461	142.918982
489896	531306	6820	Ararat Abattoir	ALINDARE PTY. LTD.	1111	Meat Processing	77	Sulfur dioxide	13.93599781	Ararat	3377	-37.281461	142.918982
492108	534196	19270	Bairnsdale Power Station	ALINTA DEBO PTY LTD	2611	Fossil Fuel Electricity Generation	20	Carbon monoxide	11832.01	Bairnsdale	3875	-37.845372	147.580938
492108	534196	19270	Bairnsdale Power Station	ALINTA DEBO PTY LTD	2611	Fossil Fuel Electricity Generation	69	Oxides of Nitrogen	78261.85	Bairnsdale	3875	-37.845372	147.580938
492108	534196	19270	Bairnsdale Power Station	ALINTA DEBO PTY LTD	2611	Fossil Fuel Electricity Generation	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	4913.71	Bairnsdale	3875	-37.845372	147.580938
492108	534196	19270	Bairnsdale Power Station	ALINTA DEBO PTY LTD	2611	Fossil Fuel Electricity Generation	70	Particulate Matter ¡Ü10.0 ?m (PM10)	5095.71	Bairnsdale	3875	-37.845372	147.580938
492108	534196	19270	Bairnsdale Power Station	ALINTA DEBO PTY LTD	2611	Fossil Fuel Electricity Generation	77	Sulfur dioxide	454.95	Bairnsdale	3875	-37.845372	147.580938
492108	534196	19270	Bairnsdale Power Station	ALINTA DEBO PTY LTD	2611	Fossil Fuel Electricity Generation	85	Total Volatile Organic Compounds	1656.45	Bairnsdale	3875	-37.845372	147.580938
493864	525130	4097	Alpine MDF Ltd	ALPINE MDF INDUSTRIES PTY LTD	1494	Reconstituted Wood Product Manufacturing	20	Carbon monoxide	35302.12001	Wangaratta	3677	-36.334349	146.372811
493864	525130	4097	Alpine MDF Ltd	ALPINE MDF INDUSTRIES PTY LTD	1494	Reconstituted Wood Product Manufacturing	69	Oxides of Nitrogen	133678.2	Wangaratta	3677	-36.334349	146.372811
493864	525130	4097	Alpine MDF Ltd	ALPINE MDF INDUSTRIES PTY LTD	1494	Reconstituted Wood Product Manufacturing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	8451.280003	Wangaratta	3677	-36.334349	146.372811
493864	525130	4097	Alpine MDF Ltd	ALPINE MDF INDUSTRIES PTY LTD	1494	Reconstituted Wood Product Manufacturing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	24460.12	Wangaratta	3677	-36.334349	146.372811
493864	525130	4097	Alpine MDF Ltd	ALPINE MDF INDUSTRIES PTY LTD	1494	Reconstituted Wood Product Manufacturing	77	Sulfur dioxide	9798.3328	Wangaratta	3677	-36.334349	146.372811
493864	525130	4097	Alpine MDF Ltd	ALPINE MDF INDUSTRIES PTY LTD	1494	Reconstituted Wood Product Manufacturing	85	Total Volatile Organic Compounds	14719.12	Wangaratta	3677	-36.334349	146.372811
496880	529906	4779	Footscray	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	20	Carbon monoxide	1265.420475	Footscray	3011	-37.814087	144.899557
496880	529906	4779	Footscray	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	69	Oxides of Nitrogen	1502.699712	Footscray	3011	-37.814087	144.899557
496880	529906	4779	Footscray	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	111.2615527	Footscray	3011	-37.814087	144.899557
496880	529906	4779	Footscray	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	70	Particulate Matter ¡Ü10.0 ?m (PM10)	111.2890527	Footscray	3011	-37.814087	144.899557
